Ex/Em	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550
200	3.01	1.99	5.61	9.93	6.82	9.46	17.91	18.72	18.25	24.24	23.60	25.13	27.79	20.79	19.81	20.92	16.62	17.36	10.45	5.92	11.92	4.68	3.87	0.00	0.00	1.25	0.00	1.43	0.00	0.00	0.00	5.58	0.00	0.00	2.47	0.00	0.63	0.00	0.00	0.59	2.22	0.51	0.00	0.00	0.00	0.00	0.00	3.17	1.03	0.00	0.97	0.00	0.00	1.84	3.09	2.79	0.00	0.00	0.99	2.93	0.00
205	1.87	0.53	2.27	11.00	16.09	16.02	24.06	27.32	29.47	37.21	44.54	42.29	47.95	34.54	42.39	36.39	30.51	26.51	15.09	15.58	13.10	13.00	4.30	1.42	0.92	4.22	1.85	0.00	1.80	0.43	2.97	0.00	0.00	0.00	0.00	0.89	0.78	0.02	0.00	0.00	0.00	0.00	0.00	0.00	1.21	5.66	0.52	0.77	0.00	0.00	0.00	0.18	7.39	0.00	0.90	0.00	0.00	3.43	2.26	2.37	0.00
210	7.85	1.57	10.55	19.42	15.08	22.67	31.90	37.87	42.50	54.44	56.75	65.07	62.17	68.30	57.59	53.27	49.60	35.70	32.30	28.30	13.24	13.41	9.58	8.13	0.00	0.00	2.86	1.62	1.14	1.24	0.00	0.75	0.90	0.00	5.60	1.43	0.00	1.97	0.00	2.36	3.48	0.00	2.89	1.24	2.47	5.69	0.00	0.00	0.00	0.00	0.00	1.02	0.83	2.48	0.04	4.36	0.00	8.16	1.88	0.00	0.00
215	6.59	7.47	14.53	19.54	25.24	31.83	40.03	54.20	69.06	77.13	80.79	90.28	92.73	87.11	85.00	76.68	63.09	56.64	46.29	37.66	28.66	14.03	9.62	9.72	6.71	4.68	13.39	2.74	3.96	3.15	2.10	0.00	2.31	0.00	0.00	0.00	0.25	6.95	0.00	2.07	0.00	0.00	3.27	0.20	0.00	0.00	2.04	0.00	0.65	0.14	0.00	6.43	1.90	0.00	0.56	0.00	2.56	0.00	0.00	1.52	2.60
220	3.21	9.78	14.99	22.05	39.02	46.74	55.26	76.33	94.45	104.42	107.43	117.46	125.13	116.82	113.37	103.72	85.41	73.52	49.47	42.62	33.14	20.43	21.46	6.62	5.59	4.60	6.79	0.00	4.24	0.43	0.00	1.49	0.65	0.00	0.23	0.00	0.36	2.01	4.78	0.00	6.42	0.00	0.00	1.78	0.86	0.00	0.00	0.00	0.00	2.55	1.08	0.00	2.70	0.92	2.44	1.89	0.00	0.00	2.24	1.83	0.00
225	8.83	17.26	18.66	31.52	41.37	56.01	76.78	94.05	112.07	130.03	139.45	150.07	150.12	149.08	139.17	126.67	111.78	89.57	80.29	54.23	38.94	33.94	23.34	15.76	10.73	5.39	0.51	2.05	0.00	3.46	0.00	0.00	0.00	1.30	0.00	0.00	0.78	0.78	0.00	0.00	0.74	0.00	0.00	0.00	0.00	0.96	4.45	2.59	0.00	0.00	0.00	0.00	0.00	0.97	0.00	1.56	4.60	0.00	1.21	2.07	0.00
230	0.00	15.73	24.18	32.61	49.15	67.74	90.27	109.94	134.65	145.17	165.63	173.71	183.33	171.00	161.04	146.51	122.97	106.94	85.34	68.57	52.04	42.44	28.45	15.43	8.40	8.39	0.19	7.90	4.89	0.00	0.00	4.30	0.00	3.83	0.00	0.00	0.11	0.24	0.00	1.97	0.00	0.00	0.45	1.62	2.20	0.00	0.00	3.88	1.03	0.00	4.68	0.36	3.55	0.21	6.19	5.27	0.00	2.92	1.94	4.11	0.00
235	0.00	0.00	20.96	34.81	47.78	71.95	96.52	122.11	141.05	166.93	175.05	185.34	194.43	192.36	180.65	158.26	143.86	117.86	101.27	79.24	56.64	42.22	27.97	21.26	17.15	6.22	7.21	1.83	0.00	0.82	0.00	0.00	0.00	6.12	0.32	0.00	0.86	0.00	0.00	2.06	2.48	0.00	0.00	0.00	0.00	0.00	4.21	5.03	0.00	1.79	0.98	9.28	3.39	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00
240	0.00	0.00	0.00	44.02	55.84	72.49	101.95	123.00	142.28	166.81	182.62	193.03	204.71	204.86	185.07	175.28	151.94	130.63	108.19	86.33	70.05	50.95	40.52	28.46	19.24	10.71	6.98	7.71	4.80	0.00	1.47	3.01	0.00	2.09	0.00	2.15	0.00	0.00	0.00	0.60	1.22	0.00	2.31	0.00	0.12	0.00	0.00	0.34	0.00	0.00	3.12	0.00	2.57	0.00	1.62	4.35	0.00	0.00	1.74	0.00	1.12
